13:46:41.869 [INFO    ][deluge.configmanager:52  ] Setting config directory to: /config
13:46:42.442 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Debris.S01E02.FASTSUB.VOSTFR.1080p.WEB.H264-VOiLA from user "localclient" loaded
13:46:42.443 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Debris.S01E01.FASTSUB.VOSTFR.1080p.WEB.H264-VOiLA from user "localclient" loaded
13:46:42.443 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Debris.S01E06.FASTSUB.VOSTFR.1080p.WEB.x264-VOiLA from user "localclient" loaded
13:46:42.444 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Debris.S01E05.FASTSUB.VOSTFR.1080p.WEB.x264-VOiLA from user "localclient" loaded
13:46:42.445 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Shameless.US.S11E11.FASTSUB.VOSTFR.1080p.AMZN.WEB-DL.DDP5.1.H.264-P37.mkv from user "localclient" loaded
13:46:42.445 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Shameless.US.S11E10.FASTSUB.VOSTFR.1080p.AMZN.WEB-DL.DDP5.1.H.264-P37.mkv from user "localclient" loaded
13:46:42.446 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Shameless.US.S11E09.FASTSUB.VOSTFR.1080p.AMZN.WEB-DL.DDP5.1.x264-P37.mkv from user "localclient" loaded
13:46:42.447 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Mayans.M.C.S03E01.Pap.Struggles.with.the.Death.Angel.1080p.AMZN.WEBRip.DDP5.1.x264-NTb from user "localclient" loaded
13:46:42.448 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Mayans.M.C.S03E02.The.Orneriness.of.Kings.1080p.AMZN.WEBRip.DDP5.1.x264-NTb from user "localclient" loaded
13:46:42.450 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Mayans.M.C.S03E03.Overreaching.Dont.Pay.1080p.AMZN.WEBRip.DDP5.1.x264-NTb from user "localclient" loaded
13:46:42.451 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Mayans.M.C.S03E04.Our.Gangs.Dark.Oath.1080p.AMZN.WEBRip.DDP5.1.x264-NTb from user "localclient" loaded
13:46:42.452 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Mayans.M.C.S03E05.Dark.Deep-Laid.Plans.1080p.AMZN.WEBRip.DDP5.1.x264-NTb from user "localclient" loaded
13:46:42.453 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Mayans.M.C.S03E06.You.Cant.Pray.a.Lie.1080p.AMZN.WEBRip.DDP5.1.x264-NTb from user "localclient" loaded
